method_id,project,file_path,startline,endline,method_loc,method_name,method_source,srp_score_llm,srp_label_llm,srp_confidence_llm,srp_notes_llm,ocp_score_llm,ocp_label_llm,ocp_confidence_llm,ocp_notes_llm,dip_score_llm,dip_label_llm,dip_confidence_llm,dip_notes_llm,overall_solid_score,overall_flags
systems/Projects/selenium-trunk/java/src/org/openqa/selenium/grid/Main.java:116-155,selenium,systems/Projects/selenium-trunk/java/src/org/openqa/selenium/grid/Main.java,116,155,40,configure,"public Executable configure (PrintStream out, PrintStream err, String...args) {
    return () -> {
        int longest = commands.stream ().filter (CliCommand :: isShown).map (CliCommand :: getName).max (Comparator.comparingInt (String :: length)).map (String :: length).orElse (0) + 2;
        PrintWriter outWriter = new WrappedPrintWriter (out, 72, 0);
        outWriter.append (getName ()).append (""\n\n"");
        outWriter.append (getDescription ()).append (""\n"").append (""\n"");
        int indent = Math.min (longest + 2, 25);
        String format = ""  %-"" + longest + ""s"";
        PrintWriter indented = new WrappedPrintWriter (out, 72, indent);
        commands.stream ().filter (CliCommand :: isShown).forEach (cmd -> indented.format (format, cmd.getName ()).append (cmd.getDescription ()).append (""\n""));
        outWriter.write (""\nFor each command, run with `--help` for command-specific help\n"");
        outWriter.write (""\nUse the `--ext` flag before the command name to specify an additional "" + ""classpath to use with the server (for example, to provide additional "" + ""commands, or to provide additional driver implementations). For example:\n"");
        outWriter.write (String.format (""%n  java -jar selenium.jar --ext example.jar%sdir standalone --port 1234"", File.pathSeparator));
        out.println (""\n"");
    };
}",2,Compliant,0.78,,2,Compliant,0.74,,1,Partial,0.55,Cannot determine from this method alone whether WrappedPrintWriter is a simple local helper/value type or a replaceable external collaborator.,5,needs_more_context
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxOptionsTest.java:90-92,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/firefox/FirefoxOptionsTest.java,90,92,3,binaryPathNeedNotExist,"void binaryPathNeedNotExist () {
    new FirefoxOptions ().setBinary (""does/not/exist"");
}",2,Compliant,0.78,,2,Compliant,0.62,,0,Violated,0.7,Method is tightly coupled to the concrete FirefoxOptions type via direct construction.,4,
systems/Projects/struts-main/core/src/main/java/org/apache/struts2/ActionSupport.java:345-360,struts,systems/Projects/struts-main/core/src/main/java/org/apache/struts2/ActionSupport.java,345,360,16,getContainer,"protected Container getContainer () {
    if (container == null) {
        container = ActionContext.getContext ().getContainer ();
        if (container != null) {
            boolean devMode = Boolean.parseBoolean (container.getInstance (String.class, StrutsConstants.STRUTS_DEVMODE));
            if (devMode) {
                LOG.warn (""Container is null, action was created manually? Fallback to ActionContext"");
            }
            else {
                LOG.debug (""Container is null, action was created manually? Fallback to ActionContext"");
            }
        }
        else {
            LOG.warn (""Container is null, action was created out of ActionContext scope?!?"");
        }
    }
    return container;
}",0,Violated,0.75,Method both retrieves/caches a dependency and performs conditional logging based on configuration.,1,Partial,0.55,"Branching is moderate (nested if/else) and may be simple control flow, but changes to logging/handling policy would require modifying this method.",0,Violated,0.8,"Method is tightly coupled to concrete/global access patterns (ActionContext and static logger), reducing replaceability.",1,needs_more_context
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/support/ui/SlowLoadableComponentTest.java:140-145,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/support/ui/SlowLoadableComponentTest.java,140,145,6,isLoaded,"protected void isLoaded () throws Error {
    clock.sleep (Duration.ofSeconds (1));
    throw new Error ();
}",2,Compliant,0.78,,1,Partial,0.55,needs_more_context,2,Compliant,0.74,,5,needs_more_context
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/ElementFindingTest.java:341-345,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/ElementFindingTest.java,341,345,5,testFindingASingleElementByCompoundClassNameShouldThrow,"void testFindingASingleElementByCompoundClassNameShouldThrow () {
    driver.get (pages.xhtmlTestPage);
    assertThatExceptionOfType (InvalidSelectorException.class).isThrownBy (() -> driver.findElement (By.className (""a b"")));
}",2,Compliant,0.78,,2,Compliant,0.72,,1,Partial,0.55,"No direct instantiation of services is visible, but whether driver/By are abstractions or concrete types is not shown at method level.",5,needs_more_context
systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/StringUtils.java:1906-1915,commons-lang,systems/Projects/commons-lang-master/src/main/java/org/apache/commons/lang3/StringUtils.java,1906,1915,10,firstNonEmpty,"public static < T extends CharSequence > T firstNonEmpty (final T...values) {
    if (values != null) {
        for (final T val : values) {
            if (isNotEmpty (val)) {
                return val;
            }
        }
    }
    return null;
}",2,Compliant,0.9,,2,Compliant,0.85,,2,Compliant,0.95,,6,
systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/objectid/AlwaysAsReferenceFirstTest.java:73-83,jackson-databind,systems/Projects/jackson-databind-2.19/src/test/java/com/fasterxml/jackson/databind/objectid/AlwaysAsReferenceFirstTest.java,73,83,11,testIssue1255,"public void testIssue1255 () throws Exception {
    Foo mo = new Foo ();
    mo.bar1 = new Bar ();
    mo.bar2 = mo.bar1;
    String json = MAPPER.writeValueAsString (mo);
    Foo result = MAPPER.readValue (json, Foo.class);
    assertNotNull (result);
}",1,Partial,0.55,"Method mixes setup, execution, and verification typical of a unit test; whether this is considered a single cohesive responsibility depends on test conventions and surrounding class context.",2,Compliant,0.8,Method contains straight-line orchestration without embedded policy/variant branches.,1,Partial,0.55,"Instantiations appear to be simple data/test objects (not clearly replaceable services), but the static/global MAPPER suggests a non-injected dependency; without class context, coupling severity is uncertain.",4,needs_more_context
systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/boot/jaxb/internal/AbstractBinder.java:149-174,hibernate-orm,systems/Projects/hibernate-orm-main/hibernate-core/src/main/java/org/hibernate/boot/jaxb/internal/AbstractBinder.java,149,174,26,jaxb,"protected < X extends T > X jaxb (XMLEventReader reader, Schema xsd, JAXBContext jaxbContext, Origin origin) {
    final ContextProvidingValidationEventHandler handler = new ContextProvidingValidationEventHandler ();
    try {
        final Unmarshaller unmarshaller = jaxbContext.createUnmarshaller ();
        if (isValidationEnabled ()) {
            unmarshaller.setSchema (xsd);
        }
        else {
            unmarshaller.setSchema (null);
        }
        unmarshaller.setEventHandler (handler);
        return (X) unmarshaller.unmarshal (reader);
    } catch (JAXBException e) {
        throw new MappingException (""Unable to perform unmarshalling at line number "" + handler.getLineNumber () + "" and column "" + handler.getColumnNumber () + "". Message: "" + handler.getMessage (), e, origin);
    }
}",2,Compliant,0.72,,2,Compliant,0.7,,1,Partial,0.55,needs_more_context,5,needs_more_context
systems/Projects/SolidLeaning/fitnesse/src/fitnesse/wiki/RecentChangesWikiPage.java:21-24,fitnesse,systems/Projects/SolidLeaning/fitnesse/src/fitnesse/wiki/RecentChangesWikiPage.java,21,24,4,makeDateFormat,"private static SimpleDateFormat makeDateFormat () {
    return new SimpleDateFormat (FitNesseContext.recentChangesDateFormat);
}",2,Compliant,0.78,,2,Compliant,0.7,,2,Compliant,0.62,,6,
systems/Projects/selenium-trunk/java/test/org/openqa/selenium/FormHandlingTest.java:295-307,selenium,systems/Projects/selenium-trunk/java/test/org/openqa/selenium/FormHandlingTest.java,295,307,13,canSubmitFormWithSubmitButtonNameEqualToSubmit,"void canSubmitFormWithSubmitButtonNameEqualToSubmit () {
    String blank = appServer.create (new Page ().withTitle (""Submitted Successfully!""));
    driver.get (appServer.create (new Page ().withBody (String.format (""<form action='%s'>"", blank), ""  <input type='submit' name='submit' value='Submit'>"", ""</form>"")));
    driver.findElement (By.name (""submit"")).submit ();
    wait.until (titleIs (""Submitted Successfully!""));
}",2,Compliant,0.72,,2,Compliant,0.7,,1,Partial,0.55,"Method uses external collaborators via fields (appServer/driver/wait), but without their types it is unclear whether dependencies are abstracted; local 'new Page()' could be a simple DTO/builder.",5,needs_more_context
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/util/FileListPanel.java:153-155,jmeter,systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/util/FileListPanel.java,153,155,3,clearFiles,"public void clearFiles () {
    tableModel.clearData ();
}",2,Compliant,0.9,,2,Compliant,0.85,,2,Compliant,0.75,,6,
systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/util/JDateField.java:155-171,jmeter,systems/Projects/jmeter-master/src/core/src/main/java/org/apache/jmeter/gui/util/JDateField.java,155,171,17,update,"private void update (int addend, boolean shifted) {
    Calendar c = parseDate (getText ());
    int pos = getCaretPosition ();
    int field = posToField (pos);
    if (shifted) {
        c.roll (field, true);
    }
    else {
        c.add (field, addend);
    }
    String newDate = dateFormat.format (c.getTime ());
    setText (newDate);
    if (pos > newDate.length ()) {
        pos = newDate.length ();
    }
    final int newPosition = pos;
    SwingUtilities.invokeLater (() -> setCaretPosition (newPosition));
}",1,Partial,0.55,Appears to mix state transformation (calendar/date formatting) with UI caret management; whether this is a single cohesive responsibility depends on the class's role as a UI component.,2,Compliant,0.75,No multi-branch variant logic or policy constants; change risk within this method appears low.,2,Compliant,0.8,Method does not create external service objects; dependencies appear to be provided by the surrounding class/framework.,5,needs_more_context
systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/gui/action/ExportTransactionAndSamplerNames.java:94-106,jmeter,systems/Projects/jmeter-master/src/components/src/main/java/org/apache/jmeter/gui/action/ExportTransactionAndSamplerNames.java,94,106,13,addNode,"public void addNode (Object object, HashTree subTree) {
    JMeterTreeNode treeNode = (JMeterTreeNode) object;
    Object userObject = treeNode.getUserObject ();
    if (userObject instanceof TransactionController || (userObject instanceof Sampler && ! (userObject instanceof TestAction) && ! (userObject instanceof DebugSampler))) {
        Matcher matcher = TRANSACTIONS_REGEX.matcher (((TestElement) userObject).getName ());
        if (! matcher.matches ()) {
            listOfTransactions.add (((TestElement) userObject).getName ());
        }
    }
}",2,Compliant,0.72,,0,Violated,0.78,,2,Compliant,0.7,,4,
